清理後評論內容,分詞結果
"巨蛋體育館不只是世界頂級的標準室內棒球場更是各項國際級藝文演出的殿堂其他各類大型活動包含專業或民生消費性展覽大型產品發表會演講企業活動等皆可以在此得到滿足

台北大巨蛋是國內首座四萬席大型室內體育館是國內可容納觀眾數最多的棒球場擁有符合世界棒壘球總會World Baseball Softball ConfederationWBSC棒球場硬體規範的最新棒球場更擁有新穎的人工草皮並有與國際接軌的球員後場空間配備完善的休息室與訓練空間等軟硬設施滿足任何大型棒球賽事需要

除了體育賽事外可容納1萬到4萬名觀眾觀賞各種不同類型的大型表演並有正對舞臺的包廂可供使用其中1萬人可採用劇場式舞台設計讓觀眾距離近視角佳適合音樂劇舞台劇演出而2到4萬人則可依不同演出型態採用中央舞臺遠端舞臺或近端舞臺等不同座位設計亦具有展演專用懸吊系統與電力系統可提供國內外各項大型娛樂表演演唱會音樂劇之需求

台北大巨蛋也是交通最便捷的大型展覽館球場層面積為約12950平方公尺預留給排水電源網路等管線約可容納600700個標準攤位供一般民生消費展覽或專業展覽使用同時地處交通樞紐串接兩大商圈位處捷運國父紀念館站與市政府站間民眾往來便捷園區共有超過2000個汽車停車位方便各項展覽觀眾交通需求","巨蛋 體育館 不只 是 世界 頂級 的 標準 室 內 棒球場 更 是 各 項 國際級 藝文 演出 的 殿堂 其他 各 類 大型 活動 包含 專業 或 民生 消費性 展覽 大型 產品 發表會 演講 企業 活動 等 皆 可以 在 此 得到 滿足 
 
 台北 大 巨蛋 是 國內 首 座 四萬 席 大型 室 內 體育館 是 國內 可 容納 觀眾數 最多 的 棒球場 擁有 符合 世界 棒壘球 總會 World  Baseball  S oftball   Confederation WBSC 棒球場 硬體 規範 的 最 新 棒球場 更 擁有 新穎 的 人工 草皮 並 有 與 國際 接軌 的 球員 後場 空間 配備 完善 的 休息室 與 訓練 空間 等 軟硬 設施 滿足 任何 大型 棒球 賽事 需要 
 
 除了 體育 賽事 外 可 容納 1萬 到 4萬 名 觀眾 觀賞 各 種 不同 類型 的 大型 表演 並 有 正 對 舞臺 的 包廂 可 供 使用 其中 1萬 人 可 採用 劇場式 舞台 設計 讓 觀眾 距離 近 視角 佳 適合 音樂劇 舞台劇 演出 而 2 到 4萬 人 則 可 依 不同 演出 型態 採用 中央 舞臺 遠端 舞臺 或 近端 舞臺 等 不同 座位 設計 亦 具有 展演 專用 懸吊 系統 與 電力 系統 可 提供 國內外 各 項 大型 娛樂 表演 演唱會 音樂劇 之 需求 
 
 台北 大 巨蛋 也 是 交通 最 便捷 的 大型 展覽館 球場層 面積 為 約 12950 平方公尺 預留 給 排水 電源 網路 等 管線 約 可 容納 600700 個 標準 攤位 供 一般 民生 消費 展覽 或 專業 展覽 使用 同時 地處 交通 樞紐 串接 兩 大 商圈 位處 捷運 國父 紀念館 站 與 市政府站 間 民眾 往來 便捷 園區 共有 超過 2000 個 汽車 停車位 方便 各 項 展覽 觀眾 交通 需求"
"台北市有這樣的公共設施我肯定
也應該評價5 顆星
放下政治立場放下為了反對而反對一個進步開放的社會一個經濟繁榮的城市市民確實值得擁有最好的多元生活環境
運動賽事演藝表演文藝展逛街購物飲食享受捷運交通都可以在這裡滿足需求
大巨蛋聯結松文創國父紀念館北市府商圈忠孝東路商圈也為台北市民來訪遊客增添不可言諭的喜悅樂趣
至於施工品質的瑕疵也可說是瑕不掩瑜逐步改善也非不可沒有必要無限上綱苛責
走遍世界各地台灣台北及其他城市仍然是心目中最棒的地方","台北市 有 這樣 的 公共 設施 我 肯定 
 也 應該 評價 5  顆 星 
 放下 政治 立場 放下 為了 反對 而 反對 一 個 進步 開放 的 社會 一 個 經濟 繁榮 的 城市 市民 確實 值得 擁有 最 好 的 多元 生活 環境 
 運動 賽事 演藝 表演 文藝展 逛街 購物 飲食 享受 捷運 交通 都 可以 在 這裡 滿足 需求 
 大 巨蛋 聯結 松文 創 國父 紀念館 北市府 商圈 忠孝東路 商圈 也 為 台北 市民 來訪 遊客 增添 不可 言諭 的 喜悅 樂趣 
 至於 施工 品質 的 瑕疵 也 可 說 是 瑕不掩瑜 逐步 改善 也 非 不 可 沒有 必要 無限 上綱 苛責 
 走遍 世界 各 地 台灣 台北 及 其他 城市 仍然 是 心目中 最 棒 的 地方"
"週六是七夕情人節我預購中華職棒的賽事門票比賽地點是我嚮往的夢幻場地臺北大巨蛋比賽當天我與內子搭乘捷運到國父紀念館站距離比賽時間尚有兩個小時卻見許多球迷已穿著支持球隊的球衣及加油道具入場我們從捷運站5號出口走出平面天空下著陽光小雨我拿著傘心裡煩躁卻想入場後不管外面颳風下雨都可順利看球賽又覺新鮮

我與內子沿著大巨蛋繞了大半圈大巨蛋的建築外觀頗新穎一樓有許多餐廳與餐酒館我們沿階梯走下樓跟隨座位區標示前行雖然球場內部相通但還是得依照座位區入場才行因為每區發送的紀念品不同當天是台鋼主場的心動時刻主題日本後熱區一般Ａ區之球迷收到台鋼雄鷹官方鷹援手燈隊徽款非常酷後來才知道比賽及活動時球場會輪流點亮各區的鷹援手燈包括燈光顏色的變化所以坐錯位置或拿錯手燈就會發生不一致的情形跟演唱會一樣

走進大巨蛋我與內子第一件事就是停佇在座位區後方看著端正的場地與美麗的草皮球場高挑的頂端是網格狀線條很有現代感外野中央有個超大的螢幕輪播著主場球隊資訊及相關合作企業的廣告此時球隊正進行打擊練習接著才發現我們的座位正是本壘區最後一排的正中央座位號是1314與七夕情人節的主題相互輝映我們沿著球場內部逛大巨蛋內部有許多的商店包括排到天荒地老的官方商品販售處以及飲食店小攤連鎖店等也有飲水機行動充借用機及贊助商的宣導站等

我們排隊玩了贊助商的宣導小遊戲獲得一個口罩便回座休息大巨蛋內冷氣很強幸好我們事先準備了薄外套此時球迷陸續入場比賽前半小時我們去買些餐點共食來看球的球迷普遍年輕也有親子同行破千元的內野票還是讓球迷趨之若鶩據當天官方資訊當天共有18710人入場但僅坐滿一樓的座位第二層僅開放本壘區一小部分之前新聞報導中信兄弟邀請韓星泫雅到大巨蛋演唱觀眾人數突破3萬人次非常驚人

當天比賽過程非常刺激選手賣力表現展現球技與敬業精神平時不看棒球的內子也很專注投入只有在比賽結束等聽演唱會的空檔她才耐不住睡意打了一盹我則看著活力四射的啦啦隊表演才20多位的啦啦隊員竟能成為帶動比賽氣氛的火車頭這是比賽的一部分缺一不可

因是主題日賽後還有歌手盧廣仲及陳華的精彩演出一張票兩種享受真是值回票價演唱會結束後我們走出大巨蛋看著地上濕淋淋的想必比賽時這地方下過雨嘴角揚起幸福的笑","週六 是 七夕 情人節 我 預購 中華 職棒 的 賽事 門票 比賽 地點 是 我 嚮往 的 夢幻 場地 臺北 大 巨蛋 比賽 當天 我 與 內子 搭乘 捷運 到 國父 紀念館站 距離 比賽 時間 尚 有 兩 個 小時 卻 見 許多 球迷 已 穿著 支持 球隊 的 球衣 及 加油 道具 入場 我們 從 捷運站 5號 出口 走出 平面 天空 下 著 陽光 小 雨 我 拿 著 傘 心 裡 煩躁 卻 想 入場 後 不管 外面 颳風 下雨 都 可 順利 看 球賽 又 覺 新鮮 
 
 我 與 內子 沿著 大 巨蛋 繞 了 大半 圈 大 巨蛋 的 建築 外觀 頗 新穎 一樓 有 許多 餐廳 與 餐酒館 我們 沿 階梯 走 下樓 跟隨 座位區 標示 前行 雖然 球場 內部 相通 但 還是 得 依照 座位區 入場 才 行 因為 每 區 發送 的 紀念品 不同 當天 是 台鋼 主場 的 心動 時刻 主題 日本 後熱區 一般 Ａ區 之 球迷 收到 台鋼 雄鷹 官方 鷹援 手燈 隊徽款 非常 酷 後來 才 知道 比賽 及 活動 時 球場 會 輪流 點亮 各 區 的 鷹 援手燈 包括 燈光 顏色 的 變化 所以 坐錯 位置 或 拿錯 手燈 就 會 發生 不 一致 的 情形 跟 演唱會 一樣 
 
 走進 大 巨蛋 我 與 內子 第一 件 事 就是 停佇 在 座位區 後方 看 著 端正 的 場地 與 美麗 的 草皮 球場 高挑 的 頂端 是 網格狀 線條 很 有 現代感 外野 中央 有 個 超大 的 螢幕 輪播 著 主場 球隊 資訊 及 相關 合作 企業 的 廣告 此時 球隊 正 進行 打擊 練習 接著 才 發現 我們 的 座位 正 是 本壘區 最後 一 排 的 正中央 座位號 是 1314 與 七夕 情人節 的 主題 相互 輝映 我們 沿著 球場 內部 逛 大 巨蛋 內部 有 許多 的 商店 包括 排到 天荒地老 的 官 方 商品 販售處 以及 飲食店 小攤 連鎖店 等 也 有 飲水機 行動 充借用機 及 贊助商 的 宣導站 等 
 
 我們 排隊 玩 了 贊助商 的 宣導 小 遊戲 獲得 一 個 口罩 便 回座 休息 大 巨蛋 內 冷氣 很 強 幸好 我們 事先 準備 了 薄 外套 此時 球迷 陸續 入場 比賽 前 半 小時 我們 去 買 些 餐點 共食 來 看 球 的 球迷 普遍 年輕 也 有 親子 同行 破 千 元 的 內野票 還是 讓 球迷 趨之若鶩 據 當天 官方 資訊 當天 共 有 18710 人 入場 但 僅 坐滿 一樓 的 座位 第二 層 僅 開放 本壘區 一 小 部分 之前 新聞 報導 中信 兄弟 邀請 韓星 泫雅 到 大 巨蛋 演唱 觀眾 人數 突破 3萬 人次 非常 驚人 
 
 當天 比賽 過程 非常 刺激 選手 賣力 表現 展現 球技 與 敬業 精神 平時 不 看 棒球 的 內子 也 很 專注 投入 只有 在 比賽 結束 等 聽 演唱會 的 空檔 她 才 耐 不 住 睡意 打 了 一 盹 我 則 看 著 活力 四射 的 啦啦隊 表演 才 20多 位 的 啦啦隊員 竟 能 成為 帶動 比賽 氣氛 的 火車頭 這 是 比賽 的 一 部分 缺一不可 
 
 因 是 主題日 賽 後 還 有 歌手 盧廣仲 及 陳華 的 精彩 演出 一 張 票 兩 種 享受 真是 值回票價 演唱會 結束 後 我們 走出 大 巨蛋 看 著 地 上 濕淋淋 的 想必 比賽 時 這 地方 下 過 雨 嘴角 揚起 幸福 的 笑"
從藍線國父紀念館館5號出口可抵大巨蛋入口當天1130921是周思齊引退賽很幸運的遇到了五月天加持湧入四萬人球迷坐在L2223區第二層三壘靠近界外視野還不錯室內空調也很舒適廁所也蠻多的五月天演出聲光效果很棒音響就弱弱的再來能下到B1的出入口有點少吃的也都在這東西也不便宜章魚燒要價150元但越走到邊邊的比較便宜變100元滷味150飲料60也貴難怪有些人會自己帶吃的然後商品販賣部也只有一間很多人在排隊明知道有那麼多人入場應該再多規劃販售空間和吃的真的很不方便看完北海道的es con field 的球場在軟硬體上巨蛋真的還有很大的進步空間螢幕真的太小了,從 藍線 國父 紀念館 館 5號 出口 可 抵 大巨蛋 入口 當天 1130921 是 周思齊 引退賽 很 幸運 的 遇到 了 五月 天 加持 湧入 四萬 人 球迷 坐 在 L2223區 第二 層 三壘 靠近 界外 視野 還 不錯 室 內 空調 也 很 舒適 廁所 也 蠻 多 的 五月天 演出 聲光 效果 很 棒 音響 就 弱弱 的 再 來 能 下到 B1 的 出入口 有點 少 吃 的 也 都 在 這 東西 也 不 便宜 章魚燒 要價 150 元 但 越 走到 邊邊 的 比較 便宜 變 100 元 滷味 150 飲料 60 也 貴 難怪 有 些 人 會 自己 帶 吃 的 然後 商品 販賣部 也 只有 一 間 很多 人 在 排隊 明知道 有 那麼多 人 入場 應該 再 多 規劃 販售 空間 和 吃 的 真的 很 不 方便 看完 北海道 的 es con  field  的 球場 在 軟硬體 上 巨蛋 真的 還 有 很 大 的 進步 空間 螢幕 真的 太 小 了
帶小朋友大巨蛋初體驗就是神嘟引退賽全場都站起來跳應援的的時候地板會震動高樓層應該是會更明顯空調很足夠體感很舒適據說高樓層還會冷廁所還算乾淨販售的飲食也很多樣還有看到壯觀的娃娃車停放區婦嬰室內也有可泡奶的飲水機設想得相當週到稱得上非常便利又舒服的觀賽場地當然最大的優點就是不用受天雨的影嚮場內的一切活動另外有些人提到的螢幕太小的問題相信未來很快會有機會能夠改善一下神嘟即便止步在149W未來應該也是難以超越的目標祝褔嘟嘟,帶 小朋友 大 巨蛋 初 體驗 就 是 神嘟 引退 賽 全 場 都 站起來 跳 應援 的 的 時候 地板 會 震動 高 樓層 應該 是 會 更 明顯 空調 很 足夠 體感 很 舒適 據說 高 樓層 還 會 冷 廁所 還 算 乾淨 販售 的 飲食 也 很 多樣 還 有 看到 壯觀 的 娃娃車 停放區 婦嬰室 內 也 有 可 泡 奶 的 飲水機 設想 得 相當 週到 稱得上 非常 便利 又 舒服 的 觀賽 場地 當然 最 大 的 優點 就 是 不用 受 天雨 的 影嚮 場 內 的 一切 活動 另外 有 些 人 提到 的 螢幕 太 小 的 問題 相信 未來 很 快 會 有 機會 能夠 改善 一下 神嘟 即便 止步 在 149W 未來 應該 也 是 難以 超越 的 目標 祝褔 嘟嘟
"台北大巨蛋的停車場從光復南路右轉進入很大的停車場有2000多個位子要找電梯很難可download Taipei Dom app它會幫你找到最近的電梯共有9個要先按那個電梯再按下方去這裡的圓圈圈
餐廳開了一些一樓及地下一樓都有很適合下雨天走走","台北 大 巨蛋 的 停車場 從 光復南路 右轉 進入 很 大 的 停車場 有 2000 多 個 位子 要 找 電梯 很 難 可 download  Taipei   Dom  app 它 會 幫 你 找到 最近 的 電梯 共有 9 個 要 先 按 那 個 電梯 再 按 下方 去 這裡 的 圓圈圈 
 餐廳 開 了 一些 一樓 及 地下 一樓 都 有 很 適合 下雨天 走走"
大巨蛋是看棒球的好地方室內看球真的很舒服交通也方便國父紀念館五號出口上來就到附近就是國父紀念館和松山文創園區202411目前旁邊的商場還沒開幕大巨蛋內的餐廳還在進駐中,大 巨蛋 是 看 棒球 的 好 地方 室 內 看 球 真的 很 舒服 交通 也 方便 國父 紀念館 五號 出口 上來 就 到 附近 就 是 國父 紀念館 和 松山 文創 園區 202411 目前 旁邊 的 商場 還 沒 開幕 大 巨蛋 內 的 餐廳 還 在 進駐 中
"台北大巨蛋 L2 206區 9排視野分享
舒服就是我對這裡最簡單的稱讚環境很新空調有冷吃的喝的這裡都有讓你看球賽也能享受美食今天看了韓國vs日本也感受到最原汁原味的韓式應援總之這裡真的是很棒的球場希望未來能有更多的一級賽事在這裡舉辦","台北 大 巨蛋  L2 206 區  9 排 視野 分享 
 舒服 就 是 我 對 這裡 最 簡單 的 稱讚 環境 很 新 空調 有 冷 吃 的 喝 的 這裡 都 有 讓 你 看 球賽 也 能 享受 美食 今天 看 了 韓國 vs 日本 也 感受到 最 原汁 原味 的 韓式 應援 總之 這裡 真的 是 很 棒 的 球場 希望 未來 能 有 更多 的 一 級 賽事 在 這裡 舉辦"
目前商場區入駐還沒完成非比賽時來會覺得整體冷冷清清交通很方便,目前 商場區 入駐 還 沒 完成 非 比賽 時 來 會 覺得 整體 冷冷清清 交通 很 方便
來大巨蛋看棒球環境很不錯尤其是夏天看棒球還有冷氣吹真的很棒目前販售食物的攤位還是稍稍不足有的還是要排隊等候但是可以帶外食進去還是事先買好這樣不用排隊廁所滿多的走完一圈發現有飲水機的下次可以帶空瓶去裝水音響設備不太好聽起來都嗡嗡的螢幕太小看起來很吃力,來 大 巨蛋 看 棒球 環境 很 不錯 尤其 是 夏天 看 棒球 還 有 冷氣 吹 真的 很 棒 目前 販售 食物 的 攤位 還是 稍稍 不足 有的 還是 要 排隊 等候 但是 可以 帶 外食 進去 還是 事先 買好 這樣 不用 排隊 廁所 滿多 的 走完 一 圈 發現 有 飲水機 的 下 次 可以 帶 空瓶 去 裝 水 音響 設備 不 太 好 聽起來 都 嗡嗡 的 螢幕 太 小 看起來 很 吃力
來探路從捷運站來很方便因為很早來許多商家都還沒開始到了營業時間應該會有很多人潮廁所沒衛生紙女廁單間內也沒有垃圾桶無法理解是所有的生理用品衛生紙不可溶於水的面紙一律丟到馬桶內嗎試想公共場所進出的人也多這應該很容易改善的問題,來 探 路 從 捷運站 來 很 方便 因為 很 早 來 許多 商家 都 還 沒 開始 到 了 營業 時間 應該 會 有 很多 人潮 廁所 沒 衛生紙 女廁 單 間 內 也 沒有 垃圾桶 無法 理解 是 所有 的 生理 用品 衛生紙 不可 溶 於 水 的 面紙 一律 丟到 馬桶 內 嗎 試想 公共 場所 進出 的 人 也 多 這 應該 很 容易 改善 的 問題
"35年過去了終於有大巨蛋能好好讓球迷們觀賞棒球比賽
場館內部多數硬體設施尚稱完善但對於動線標示需要再多點規劃由於目前尚未由球隊經營這點仍需由經營單位好好處理

球場位置交通便利搭乘捷運是最方便的不過週圍腹地較小同時大量人潮輸散時造成擁擠的現象場內人多的時候若搭手扶梯要注意前方若停住小心遭後方人員推擠

L4廁所乾淨L5座位在6排以上視野很棒希望未來調整後帶給球迷更好的看球環境

83 更新右外野L244看球經驗外野L2也許因不常開放的關係當日外野座位及地板佈滿落塵場地清潔應再加強看台區牆壁邊緣施工收尾沒有很仔細屋頂漏水等問題也就不足為奇
外野廁所數量比L4L5來得少在83兄弟出賽當天上男廁都得排隊","35 年 過去 了 終於 有 大 巨蛋 能 好好 讓 球迷 們 觀賞 棒球 比賽 
 場館 內部 多數 硬體 設施 尚 稱 完善 但 對於 動線 標示 需要 再 多點 規劃 由於 目前 尚未 由 球隊 經營 這 點 仍 需 由 經營 單位 好好 處理 

 球場 位置 交通 便利 搭乘 捷運 是 最 方便 的 不過 週圍 腹地 較 小 同時 大量 人潮 輸散 時 造成 擁擠 的 現象 場 內 人 多 的 時候 若 搭 手扶梯 要 注意 前方 若 停住 小心 遭 後方 人員 推擠 

L4 廁所 乾淨 L5 座位 在 6 排 以上 視野 很 棒 希望 未來 調整 後 帶給 球迷 更 好 的 看 球 環境 

83  更新 右外野 L244 看 球 經驗 外野 L2 也許 因 不 常 開放 的 關係 當日 外野 座位 及 地板 佈滿 落塵 場地 清潔 應 再 加強 看台區 牆壁 邊緣 施工 收尾 沒有 很 仔細 屋頂 漏水 等 問題 也 就 不足為奇 
 外野 廁所 數量 比 L4L5 來得 少 在 83 兄弟 出賽 當天 上 男廁 都 得 排隊"
"設施不錯夏天在室內吹冷氣看球賽真的很棒廁所很多也有定期清潔還不錯
缺點是場內餐點部分偏貴150元只有6顆章魚小丸子只有滿滿一球粉漿包一塊章魚沒有加蔬菜真的很雷","設施 不錯 夏天 在 室 內 吹 冷氣 看 球賽 真的 很 棒 廁所 很多 也 有 定期 清潔 還 不錯 
 缺點 是 場 內 餐點 部分 偏 貴 150 元 只有 6 顆 章魚 小 丸子 只有 滿滿 一 球 粉漿 包 一 塊 章魚 沒有 加 蔬菜 真的 很 雷"
從B 1進去有好幾個入口座位算是很舒服冷氣空調也很舒適在七月底可以不流汗看球賽真的蠻享受的外面的餐廳很多但是在總決賽時幾乎每家都客滿最好可以吃完飯再過來記得帶喜歡的零食跟飲料場內的食物跟飲料區都大排長龍或是賣完今天球賽看到張育成揮出一隻全壘打全場情緒高昂充滿正能量全場歡聲雷動啦啦隊從頭跳到尾觀眾也是娛樂效果滿點,從 B 1 進去 有 好幾 個 入口 座位 算是 很 舒服 冷氣 空調 也 很 舒適 在 七月 底 可以 不 流汗 看 球賽 真的 蠻 享受 的 外面 的 餐廳 很多 但是 在 總決賽 時 幾乎 每 家 都 客滿 最好 可以 吃完 飯 再 過來 記得 帶 喜歡 的 零食 跟 飲料場 內 的 食物 跟 飲料區 都 大排長龍 或是 賣完 今天 球賽 看到 張育成 揮出 一 隻 全壘打 全 場 情緒 高昂 充滿 正能量 全 場 歡聲 雷動 啦啦隊 從 頭 跳到 尾 觀眾 也 是 娛樂 效果 滿點
"特地來看周董引退賽來了兩天坐了不同樓層搭捷運來很方便很多出入口可以進出場

第一天坐L2內野結果上樓只有一座手扶梯能搭滿場真的排手扶梯就排了幾十分鐘最後手扶梯還壞掉只能走樓梯
但L2視野很好與B1相比座位的空間比較寬比較舒適只是屋頂會漏水剛好坐在漏水附近偶爾會被雨水滴到真的很無言

第二天坐B1從捷運出口的入口進場人群擠在同一處完全動不了走到117區走了快半小時如果有狀況的話真的很可怕

室內吹冷氣不怕下雨真的很舒服但問題這麼多短期間不會想再去了真的希望大巨蛋能改善的更好","特地 來 看 周董 引退賽 來 了 兩 天 坐 了 不同 樓層 搭 捷運 來 很 方便 很多 出入口 可以 進出場 
 
 第一 天 坐 L2 內野 結果 上樓 只有 一 座 手扶梯 能 搭 滿 場 真的 排 手扶梯 就 排 了 幾十 分鐘 最後 手扶梯 還 壞掉 只 能 走 樓梯 
 但 L2 視野 很 好 與 B1 相比 座位 的 空間 比較 寬 比較 舒適 只是 屋頂 會 漏水 剛好 坐 在 漏水 附近 偶爾 會 被 雨水 滴到 真的 很 無言 
 
 第二 天 坐 B1 從 捷運 出口 的 入口 進場 人群 擠 在 同 一 處 完全 動不了 走到 117 區 走 了 快 半 小時 如果 有 狀況 的話 真的 很 可怕 
 
 室 內 吹 冷氣 不 怕 下雨 真的 很 舒服 但 問題 這麼多 短期 間 不會 想 再 去 了 真的 希望 大 巨蛋 能 改善 的 更 好"
捷運國父紀念館5號出口就可以到大巨蛋嚕看球終於不用日曬雨淋了可以享受著舒服的觀賞球賽但是因為位置交錯問題所以熱區跟附近位置的高低差不會很多所以就保佑前面位置的人不要太高要不然還是會有阻擋些許視線加上冷氣超級強所以建議要帶薄外套或戴帽子因為我去10次以上8次重感冒球場內能選擇的食物還是不多但是大巨蛋一樓周邊陸續開了很不錯的用餐地點加上B2整層好像已經規劃美食街部分所以可以期待,捷運 國父 紀念館 5號 出口 就 可以 到 大巨蛋 嚕 看 球 終於 不用 日曬 雨 淋 了 可以 享受 著 舒服 的 觀賞 球賽 但是 因為 位置 交錯 問題 所以 熱區 跟 附近 位置 的 高低 差 不會 很多 所以 就 保佑 前面 位置 的 人 不要 太 高 要不然 還是 會 有 阻擋 些許 視線 加上 冷氣 超級 強 所以 建議 要 帶 薄 外套 或 戴 帽子 因為 我 去 10 次 以上 8 次 重感冒 球場 內 能 選擇 的 食物 還是 不 多 但是 大巨蛋 一樓 周邊 陸續 開 了 很 不錯 的 用餐 地點 加上 B2 整 層 好像 已經 規劃 美食街 部分 所以 可以 期待
臺北文化體育園區坐落於臺北市都心區與松山菸廠歷史古蹟區共同形塑了文化體育園區的樣貌園區占地共18公頃其中巨蛋所屬體育園區總占地面積約102公頃,臺北 文化 體育 園區 坐落 於 臺北市 都心區 與 松山 菸廠 歷史 古蹟 區 共同 形塑 了 文化 體育 園區 的 樣貌 園區 占地 共 18 公頃 其中 巨蛋 所屬 體育 園區 總 占地 面積 約 102 公頃
