清理後評論內容,分詞結果
8兩側全壘打標竿旁的螢幕偏小若是播放的資訊跟中外野一樣的話真的會太小了應該另外設計別的資訊來播放例如投打者的基本成績資訊等等
9球場的安全欄杆及網子的部分欄杆很礙眼有些座位欄杆會剛好卡本壘真的有礙觀賞希望這以後可以改善
10座位很好找且座位大小很適中飲料架擺放方便不卡座位設計上沒什麼問題
11垃圾桶太小了兩局不到就滿出來了這可能會讓工作人員比較辛苦要一直更換清潔應用超大型垃圾桶跟美日的巨蛋一樣

20240302
好像還真的跟當初擔心的都成真了但這改進得了嗎","20240922 
 再 扣 一 顆 星 
 為了 看 周思齊 引退賽 前 往 觀看 
 當天 下 大雨 想 說 搞不好 場 內 也 會 下雨 
 果然 很 倒霉 再次 遇到 漏水 
 而且 水滴 得 比 上 次 還 誇張 
 
 這 次 買 的 是 四樓 的 位置 
 也 沒辦法 跟 上 次 那樣 喬 角度 坐 著 看 
 只好 跟 工作 人員 反應 
 他 前去 檢查 我們 的 位置 和 票根 
 確認 我們 真的 遇到 漏水 後 
 再 跟 不 知道 誰 聯絡 了 一下 後 
 表示 不 喜歡 的話 
 可以 改到 第一 排 可以 隨便 坐 
 
 但 這 第一 排 是 被 欄杆 擋住 的 位子 啊 
 真的 太 扯 了 吧 
 朋友 還 說 之前 看 網路 分享 不 是 能 換到 三樓 嗎 
 然後 再 去 詢問 說 現在 沒 這 回 事 了 
 不然 就是 改到 201 或 225 
 是 內野 最 邊邊 的 位置 
 
 到 201 那邊 確認 後 遇到 了 一些 倒霉 的 同伴 
 也 說 這 是 爛爆 的 處理 
 跟 原本 的 位置 視野 比較 來 差距 有 夠 遠 的 
 
 現在 遠雄 就 是 這樣 了 嗎 
 還 要 工作 人員 確認 你 的 位置 是 不 是 真的 有 漏水 
 才 能 讓 你 換到 第一 排 的 擋 視野 的 坐牢位 
 或者 是 遠 在 角落 的 201225 
 
 而且 這些 還是 任何 人 都 可以 去 坐 的 位置 沒有 管制 的 
 
 那 還要 確認 什麼 勁 啊 
 確認 就 只是 懷疑 真假 而已 覺得 球迷 騙人 的 這樣 而已 
 
 若 真的 會 讓 這些 倒霉 的 人 換到 三樓 
 再 來 確認 好 嗎 
 
 工作 人員 是 無辜 的 
 畢竟 要 配合 無良 的 廠商 
 我們 當下 也 沒有 為難 他 
 而 廠商 連 做錯 要 彌補 還 能 這麼 瞧不起 人 
 確認 真的 有 問題 後 再 給 你 去 坐 有 問題 的 位子 
 噁心 
 
 回到 家 看 新聞 又 是 一 臉 假掰 的 不好意思 會 改善 
 上 個 月 說 會 改善 
 上 上 個 月 說 會 改善 
 都 已經 半 年 過去 了 
 都 沒 改善 
 
 有 啦 有 改 啦 
 改成 倒霉 的 人 三樓 不准 坐 
 去 坐 坐 牢位 或者 發配 邊疆 
 爛 透 了 

20240602 
 樓上 漏水 了 扣 一 顆 星 
 應該 說 是 又 漏水 了 
 勉強 看完 整 場 
 然後 原來 最 上 層 第五 樓 的 位置 不能 買 前 排 
 會 被 樓梯 擋住 視線 真的 笑死 
 怎麼 一 堆 設計 不良 啊 

20231206 
 三 顆 星 
 交通 真的 沒 話 說 假如 已經 買好 票 且 在 台北 市區 上班 的 人 可以 六點 下班 坐 捷運 過來 剛好 開賽 
 但 還是 有 很多 要 注意 和 待 改善 的 部分 
1 進場 後 的 迴廊 腹地 比 日本 的 巨蛋 都 來得 小 一萬多 人 可能 還好 但 到時 超過 兩萬 人 以上 的 入場數 應該 會 擁擠 滿 場 就 更 要 小心 了 絕對 塞爆 且 到時 若 迴廊 的 商家 都 開始 營業 排隊 買 食物 及 商品 的 人潮 絕對 會 影響 迴廊 的 走動 這 應該 無法 改善 了 只 能 進場 時 多 注意 
2 相較 日本 的 巨蛋 屬於 比較 窄 高 的 形式 現場 看 真的 比較 高聳 假如 日本 巨蛋 為 各 樓層 的 座位 比較 延伸 那 台北 巨蛋 就是 延伸 較少 而 分層 更多 更 高 於是 樓梯 就 很 重要 了 但 現場 看 的 狀況 是 樓梯 似乎 依舊 偏窄 人數 多 的 時候 走路 需要 小心 有 帶 老弱 婦孺 及 身障 的 朋友 必須 更加 更加 注意 
3 從 國父 紀念館 四號 出口 過來 連結 大 巨蛋 的 B2 通道 B2 連結 B1 售票 入場 口 的 區域 以及 B2 連結 B3 停車場 的 區域 這 幾 處 都 是 樓梯 較 窄 走動 需要 小心 入場 較為 分散 可能 還可以 但 人 多 時 比賽 結束 的 散場 絕對 會 很 塞 請 小心 走動 不然 就是 走 售票口 旁邊 的 樓梯 到 一樓 比較 安全 
4 售票口 很 小 不 知道 是 因為 臨時 比賽 才 是 如此 還是 之後 是否 會 在 別的 地方 售票 要 再 觀察 
5 售票口 旁邊 一樓 往 地下 一樓 售票 及 入場 之 空間 的 樓梯 偏 暗 且 下雨 時 下 樓梯 需要 更加 注意 畢竟 是 又 暗 又 濕 又 要 卡 旁邊 的 人 的 雨傘 帶 老弱婦孺 務必 要 小心 希望 之後 可以 改善 若 以後 該 階梯 處 可以 有 遮雨 的 部分 可以 讓 走 樓梯 的 人 不 需要 撐傘 及 加強 燈光 照明 的話 那 就 更 好 了 
6 進場 一萬 人 左右 球場 的 廁所 還 算 夠 用 而且 女廁 似乎 比 男廁 多 這 是 很 好 的 設計 但 滿 場 就 很 難說 了 
7 中外野 大 螢幕 夠 用 但 沒辦法 跟 日本 那些 巨蛋 的 螢幕 比 就是 能夠 有 基本 的 功能 沒有 辦法 有 更 好 的 視覺 感受 空間 上 應該 可以 改善 但 短期 內 應該 不會 去 增設 螢幕 了 吧 
8 兩 側 全壘打 標竿 旁 的 螢幕 偏 小 若是 播放 的 資訊 跟 中外野 一樣 的話 真的 會 太 小 了 應該 另外 設計 別的 資訊 來 播放 例如 投打 者 的 基本 成績 資訊 等等 
9 球場 的 安全 欄杆 及 網子 的 部分 欄杆 很 礙眼 有些 座位 欄杆 會 剛好 卡 本壘 真的 有礙 觀賞 希望 這 以後 可以 改善 
10 座位 很 好找 且 座位 大小 很 適中 飲料架 擺放 方便 不 卡 座位 設計 上 沒 什麼 問題 
11 垃圾桶 太 小 了 兩 局 不 到 就 滿出來 了 這 可能 會 讓 工作 人員 比較 辛苦 要 一直 更換 清潔 應用 超大型 垃圾桶 跟 美日 的 巨蛋 一樣 
 
 20240302 
 好像 還 真的 跟 當初 擔心 的 都 成真 了 但 這 改進得了 嗎"
裡面非常涼看比賽的體驗非常好食物價格和外面同價不會像遊樂園一樣特別貴,裡面 非常 涼 看 比賽 的 體驗 非常 好 食物 價格 和 外面 同 價 不會 像 遊樂園 一樣 特別 貴
有蛋看球就是舒服不用擔心日曬雨淋不過球場內的賣店還有加強空間跟日本比起來還是太陽春了,有 蛋 看 球 就是 舒服 不用 擔心 日曬 雨 淋 不過 球場 內 的 賣店 還 有 加強 空間 跟 日本 比起來 還是 太 陽春 了
第一次到台北大巨蛋看棒球比賽沒想到台北大巨蛋的面積如此的大而且其大螢幕看板也高掛好幾面可以讓全場的觀眾席很清楚的看見大螢幕所展現的現場資訊在大巨蛋這麼大的空間現場人員也是超過萬人但其冷氣空調卻非常完備讓每個人在大巨蛋內絲毫不會感受到悶熱而且是很舒爽空氣也很清新大巨蛋內的燈光也很充足館內除了比賽隊伍的賣場外也有很多的商店提供熟食及飲品大巨蛋內的座椅也很好坐位子夠大不會擁擠而且也非常乾淨現場的加油聲也比室外更加震撼場內的燈光也很充足目前入口處是較靠近忠孝東路上接近逸仙路口而大巨蛋內的停車場是城市車旅停車場每小時50元每消費滿500元可折抵1小時最高可折抵6小時很是方便價格也較便宜到台北大巨蛋的交通也很方便捷運在忠孝線的國父紀念館站基隆路上的市政府轉運站也很近總之在大巨蛋觀賞球賽真的很舒適涼爽不用擔心日曬風吹雨淋而且現場的音效也很清晰走道也很寬敞真的很值得來此體驗觀看比賽或演唱會臺北大巨蛋特推哦,第一 次 到 台北 大 巨蛋 看 棒球 比賽 沒想到 台北 大 巨蛋 的 面積 如此 的 大 而且 其 大 螢幕 看板 也 高掛 好幾 面 可以 讓 全 場 的 觀眾席 很 清楚 的 看見 大 螢幕 所 展現 的 現場 資訊 在 大 巨蛋 這麼 大 的 空間 現場 人員 也 是 超過 萬 人 但 其 冷氣 空調 卻 非常 完備 讓 每 個 人 在 大 巨蛋 內 絲毫 不會 感受到 悶熱 而且 是 很 舒爽 空氣 也 很 清新 大 巨蛋 內 的 燈光 也 很 充足 館 內 除了 比賽 隊伍 的 賣場 外 也 有 很多 的 商店 提供 熟食 及 飲品 大 巨蛋 內 的 座椅 也 很 好坐 位子 夠 大 不會 擁擠 而且 也 非常 乾淨 現場 的 加油聲 也 比 室 外 更加 震撼 場 內 的 燈光 也 很 充足 目前 入口處 是 較 靠近 忠孝東路 上 接近 逸仙路口 而 大 巨蛋 內 的 停車場 是 城市 車旅 停車場 每 小時 50 元 每 消費 滿 500 元 可 折抵 1 小時 最 高 可 折抵 6 小時 很 是 方便 價格 也 較 便宜 到 台北 大 巨蛋 的 交通 也 很 方便 捷運 在 忠孝線 的 國父 紀念館站 基隆路 上 的 市政府 轉運站 也 很 近 總之 在 大 巨蛋 觀賞 球賽 真的 很 舒適 涼爽 不用 擔心 日曬 風 吹 雨 淋 而且 現場 的 音效 也 很 清晰 走道 也 很 寬敞 真的 很 值得 來 此 體驗 觀看 比賽 或 演唱會 臺北 大 巨蛋 特推 哦
"台北看球沒冷氣真的不行

捷運站有連通道到大巨蛋

商店少因為沒有特定球隊經營氣氛沒有其他球隊主場來的熱鬧","台北 看 球 沒 冷氣 真的 不行 
 
 捷運站 有 連 通道 到 大巨蛋 
 
 商店 少 因為 沒有 特定 球隊 經營 氣氛 沒有 其他 球隊 主場 來 的 熱鬧"
"非常舒服的看球環境可以想見未來在夏天時爽爽吹著冷氣舒服看球枯燥的賽事打個囤也舒爽
後續又來看了幾次球今天4萬滿場周思齊引退五月天演唱滿滿感動沒有大巨蛋就沒有這一切","非常 舒服 的 看 球 環境 可以 想見 未來 在 夏天 時 爽爽 吹 著 冷氣 舒服 看 球 枯燥 的 賽事 打 個 囤 也 舒爽 
 後續 又 來 看 了 幾 次 球 今天 4萬 滿 場 周思齊 引退 五月天 演唱 滿滿 感動 沒有 大 巨蛋 就 沒有 這 一切"
我的大巨蛋初體驗就獻給727 GPOP流行音樂節比賽全程熱鬧非凡賽後的歌手演唱也很嗨渡過一個美好的夜晚,我 的 大 巨蛋 初 體驗 就 獻給 727  GPOP 流行 音樂節 比賽 全 程 熱鬧 非凡 賽 後 的 歌手 演唱 也 很 嗨 渡過 一 個 美好 的 夜晚
大巨蛋初體驗很棒室內的球場球場很棒有冷氣不怕熱也不怕下雨位置很多位置導引很清楚停車場車位很多球場的美食街樣式很多也好吃商店球隊產品也很好買今天剛好看龍象大戰坐在本壘後面看的很清楚票價也很便宜有看到喜歡的啦啦隊員李多慧下次還會在來看棒球比賽,大巨蛋 初 體驗 很 棒 室 內 的 球場 球場 很 棒 有 冷氣 不 怕 熱 也 不 怕 下雨 位置 很多 位置 導引 很 清楚 停車場 車位 很多 球場 的 美食街 樣式 很多 也 好吃 商店 球隊 產品 也 很 好 買 今天 剛好 看 龍象 大戰 坐 在 本壘 後面 看 的 很 清楚 票價 也 很 便宜 有 看到 喜歡 的 啦啦隊員 李多慧 下 次 還 會 在 來 看 棒球 比賽
今天來看棒球剛好是中秋節所以比賽結束之後有黃小琥演唱會整體環境舒適冷氣涼爽可惜所謂的演唱會只有燈光秀可能沒有專業的燈光師所以甚至沒有任何一刻有打光聚焦在演唱會主角黃小琥身上連她都問可以開燈嗎但是沒辦法所以整個演唱會是烏漆嘛黑的加上一些沒有特別意義的燈光閃爍秀可能這因為是附加免費的演唱會所以實在很陽春還好黃小琥的歌聲依舊彌補台鋼雄鷹被味全龍111 的缺憾,今天 來 看 棒球 剛好 是 中秋節 所以 比賽 結束 之後 有 黃小琥 演唱會 整體 環境 舒適 冷氣 涼爽 可惜 所謂 的 演唱會 只有 燈光秀 可能 沒有 專業 的 燈光師 所以 甚至 沒有 任何 一 刻 有 打光 聚焦 在 演唱會 主角 黃小琥 身 上 連 她 都 問 可以 開燈 嗎 但是 沒辦法 所以 整 個 演唱會 是 烏漆 嘛 黑 的 加上 一些 沒有 特別 意義 的 燈光 閃爍秀 可能 這 因為 是 附加 免費 的 演唱會 所以 實在 很 陽春 還好 黃小琥 的 歌聲 依舊 彌補 台鋼 雄鷹 被 味全龍 111  的 缺憾
"冷氣夠冷很舒適
攤商很多間 不用擔心沒東西吃
內野二樓500非常便宜划算
比賽氣氛很好 大家一起進場支持職棒","冷氣 夠 冷 很 舒適 
 攤商 很多 間   不用 擔心 沒 東西 吃 
 內野 二樓 500 非常 便宜 划算 
 比賽 氣氛 很 好   大家 一起 進場 支持 職棒"
第一次來這裡觀看棒球賽場地非常寬敞觀賽時有提供冷氣在天氣炎熱的時候非常友善洗手間數量也很充足沒有因為觀賽的人次多如廁時等待很久,第一 次 來 這裡 觀看 棒球賽 場地 非常 寬敞 觀賽 時 有 提供 冷氣 在 天氣 炎熱 的 時候 非常 友善 洗手間 數量 也 很 充足 沒有 因為 觀賽 的 人次 多 如廁 時 等待 很 久
期待已久的巨蛋吹冷氣看棒球果然很棒嚴格來說賣店前面的走道若能更寬敞一些會更好已經有大聯盟或是東京巨蛋的感覺了,期待 已 久 的 巨蛋 吹 冷氣 看 棒球 果然 很 棒 嚴格 來 說 賣 店 前面 的 走道 若 能 更 寬敞 一些 會 更 好 已經 有 大聯盟 或是 東京 巨蛋 的 感覺 了
服務人員大多很棒就是兼職的人員制服上希望可以區分在提醒客人口氣上差專職的很多已經站到封鎖線外還是不斷在要求他的管區所以不希望看到人潮出現建議要好好教育再來就是座位真的太擠座位前走道擠到人走過去都怕踩到腳室內的空調很棒舒服的看球體驗就是食物都冷冷地這是是大巨蛋致命傷,服務 人員 大多 很 棒 就 是 兼職 的 人員 制服 上 希望 可以 區分 在 提醒 客人 口氣 上 差 專職 的 很多 已經 站到 封鎖線 外 還是 不斷 在 要求 他 的 管區 所以 不 希望 看到 人潮 出現 建議 要 好好 教育 再來 就是 座位 真的 太 擠 座位 前 走道 擠到 人 走過去 都 怕 踩到 腳室 內 的 空調 很 棒 舒服 的 看 球 體驗 就 是 食物 都 冷冷 地 這 是 是 大 巨蛋 致命傷
"第一次來巨蛋就獻給兄弟了

環境蠻大也乾淨 空調冷氣也涼
巨蛋內有販售蠻多餐飲
還有肯德基和711
巨蛋外一樓也有很多餐廳
但Gate門太多
如果跟朋友碰面約在巨蛋會合
請記得約清楚是巨蛋出口還是國父紀念館出口
不過巨蛋周圍很多Staff
有問題都會協助指引
所以一路上很順利","第一 次 來 巨蛋 就 獻給 兄弟 了 
 
 環境 蠻 大 也 乾淨   空調 冷氣 也 涼 
 巨蛋 內 有 販售 蠻 多 餐飲 
 還 有 肯德基 和 711
 巨蛋 外 一樓 也 有 很多 餐廳 
 但 Gate 門 太多 
 如果 跟 朋友 碰面 約 在 巨蛋 會合 
 請 記得 約 清楚 是 巨蛋 出口 還是 國父 紀念館 出口 
 不過 巨蛋 周圍 很多 Staff
 有 問題 都 會 協助 指引 
 所以 一 路 上 很 順利"
中華隊超棒 環境讓球迷很享受 真的很榮幸 台灣有這樣的場地 謝謝,中華隊 超棒   環境 讓 球迷 很 享受   真的 很 榮幸   台灣 有 這樣 的 場地   謝謝
"台北俗的我終於有機會來大巨蛋看比賽啦
感謝朋友的邀約幫我搶了個好位置還可以讓我體驗到室內看棒球的爽感
雖然跟一般戶外的棒球場感覺很不一樣多了點氣質感但是還是一個不錯的體驗
而且交通很方便喔不論是自行驅車還是搭乘捷運都可以很快的到達
整體體驗我給五個","台北 俗 的 我 終於 有 機會 來 大巨蛋 看 比賽 啦 
 感謝 朋友 的 邀約 幫 我 搶 了 個 好 位置 還可以 讓 我 體驗到 室 內 看 棒球 的 爽感 
 雖然 跟 一般 戶外 的 棒球場 感覺 很 不 一樣 多 了 點 氣質感 但是 還是 一 個 不錯 的 體驗 
 而且 交通 很 方便 喔 不論 是 自行 驅車 還是 搭乘 捷運 都 可以 很 快 的 到達 
 整體 體驗 我 給 五 個"
喜歡乾淨能遮風避雨還有乾淨的美食最讓我驚喜的是洗手見很乾淨值得讚美,喜歡 乾淨 能 遮風 避雨 還 有 乾淨 的 美食 最 讓 我 驚喜 的 是 洗手見 很 乾淨 值得 讚美
跟台中洲際棒球場比的活商店選擇比較少可能剛開始沒多家廠商進駐尚未完全之後我想應該會更多家選擇其他例如不怕下雨中途停賽有冷氣設備坐椅很不錯置杯架在前方椅背旁比以往在扶手上好很多停車場規劃也不錯值得贊許,跟 台中 洲際 棒球場 比 的 活 商店 選擇 比較 少 可能 剛 開始 沒 多 家 廠商 進駐 尚未 完全 之後 我 想 應該 會 更多 家 選擇 其他 例如 不 怕 下雨 中途 停賽 有 冷氣 設備 坐椅 很 不錯 置杯架 在 前方 椅背 旁 比 以往 在 扶手 上 好 很多 停車場 規劃 也 不錯 值得 贊許
非常棒的體驗台北終於有一個看棒球不流汗的地方了,非常 棒 的 體驗 台北 終於 有 一 個 看 棒球 不 流汗 的 地方 了
"有國際水準的大巨蛋台灣
工作人員素質高
場地ㄧ級棒規劃區域和分層都有很好的視野

2024 0601 加上黃仁勳加持有效大巨蛋龍象大戰2萬9688人 刷新史上新高紀錄","有 國際 水準 的 大 巨蛋 台灣 
 工作 人員 素質 高 
 場地 ㄧ 級 棒 規劃 區域 和 分層 都 有 很 好 的 視野 
 
 2024  0601   加上 黃仁勳 加持 有效 大巨蛋 龍 象 大戰 2萬9688 人   刷新 史 上 新高 紀錄"
雖然還沒有進去大巨蛋但也不是第一次走過這裡光復南路旁的二排櫸木真的讓人感到心曠神怡,雖然 還 沒有 進去 大 巨蛋 但 也 不 是 第一 次 走過 這裡 光復南路 旁 的 二 排 櫸木 真的 讓 人 感到 心曠神怡
非常棒的場地視野開闊場地舒適動線寬敞廁所也很乾淨唯獨買內野第一排的座位置腳空間真的非常非常侷促,非常 棒 的 場地 視野 開闊 場地 舒適 動線 寬敞 廁所 也 很 乾淨 唯獨 買 內野 第一 排 的 座位 置腳 空間 真的 非常 非常 侷促
我認為這不是來看球的耳朵噪音污染很嚴重開場前喇叭的音樂超大聲會讓人無法以愉快的心情來看球心中就會讓人有暴怒的感覺不愉快的大巨蛋之旅,我 認為 這 不 是 來 看 球 的 耳朵 噪音 污染 很 嚴重 開場 前 喇叭 的 音樂 超大聲 會 讓 人 無法 以 愉快 的 心情 來 看 球 心 中 就 會 讓 人 有 暴怒 的 感覺 不 愉快 的 大 巨蛋 之 旅
"在這裡看比賽很棒 不用風吹雨淋
還有點溫暖 看比賽的體驗很棒
不過 上層只能從外面進入 感覺稍有小不便","在 這裡 看 比賽 很 棒   不用 風 吹 雨 淋 
 還 有點 溫暖   看 比賽 的 體驗 很 棒 
 不過   上 層 只 能 從 外面 進入   感覺 稍 有 小 不便"
在大巨蛋看球就是爽但是入口在B1感覺就很弱疏散一定很慢,在 大 巨蛋 看 球 就 是 爽 但是 入口 在 B1 感覺 就 很 弱 疏散 一定 很 慢
"夏天看棒球非常涼爽舒適場地也很棒
廁所很多

熟食部和紀念品部通常需要排隊","夏天 看 棒球 非常 涼爽 舒適 場地 也 很 棒 
 廁所 很多 
 
 熟食部 和 紀念品部 通常 需要 排隊"
身為棒球迷台灣終於有大巨蛋一定要來造訪一下體驗不畏下雨吹著冷氣在室內看球的舒適啊,身為 棒球迷 台灣 終於 有 大 巨蛋 一定 要 來 造訪 一下 體驗 不畏 下雨 吹 著 冷氣 在 室 內 看 球 的 舒適 啊
朝聖大巨蛋初體驗看球賽吹冷氣在捷運出口交通方便真是享受讚,朝聖 大 巨蛋 初 體驗 看 球賽 吹 冷氣 在 捷運 出口 交通 方便 真是 享受 讚
冷氣挺涼座位舒適但如果前面人太高會看不到球場人物只能看螢幕,冷氣 挺 涼 座位 舒適 但 如果 前面 人 太 高 會 看 不 到 球場 人物 只 能 看 螢幕
"我們台灣的第一顆蛋很棒
我有去過東京巨蛋比較起來在硬體設施上冷氣涼度都還有進步的空間","我們 台灣 的 第一 顆 蛋 很 棒 
 我 有 去 過 東京 巨蛋 比較起來 在 硬體 設施 上 冷氣 涼度 都 還 有 進步 的 空間"
"缺點螢幕真的太小了椅子中間的走道也太窄有人經過還是要從座位站起來讓路觀眾前後排椅子的斜度也不夠大只要前座的人稍微坐直一點就會擋住後排的視線身材比較矮小的女生可能會被擋住更多視線
優點廁所很多而且很乾淨販賣部的公共走道很寬敞飲料架在前座的後方真的很方便還有很冷的冷氣如果夏天到了可能這個冷氣會很舒服","缺點 螢幕 真的 太 小 了 椅子 中間 的 走道 也 太 窄 有 人 經過 還是 要 從 座位 站起來 讓路 觀眾 前後 排 椅子 的 斜度 也 不 夠 大 只要 前座 的 人 稍微 坐直 一點 就 會 擋住 後 排 的 視線 身材 比較 矮小 的 女生 可能 會 被 擋住 更多 視線 
 優點 廁所 很多 而且 很 乾淨 販賣部 的 公共 走道 很 寬敞 飲料 架 在 前座 的 後方 真的 很 方便 還 有 很 冷 的 冷氣 如果 夏天 到 了 可能 這 個 冷氣 會 很 舒服"
兩天免費參觀真的超級大的場地台灣辦活動又增添一個優質大巨蛋表演舞台,兩 天 免費 參觀 真的 超級 大 的 場地 台灣 辦 活動 又 增添 一 個 優質 大 巨蛋 表演 舞台
炎炎夏日來大巨蛋吹個空調看棒球真的很舒適觀看視野清楚六日賽後還有演唱會可看一票多值缺點就動線上有點亂餐飲能在多樣化更好,炎炎夏日 來 大 巨蛋 吹 個 空調 看 棒球 真的 很 舒適 觀看 視野 清楚 六 日 賽 後 還 有 演唱會 可 看 一 票 多 值 缺點 就 動線 上 有點 亂 餐飲 能 在 多樣化 更 好
"首次來大巨蛋看棒球
還有演唱會
實在是太幸運囉","首次 來 大 巨蛋 看 棒球 
 還 有 演唱會 
 實在 是 太 幸運 囉"
在炎炎夏日不用擔心刮大風或和下大雨能夠在巨大的冷氣房裡欣賞球賽以及演唱會真的是一大享受,在 炎炎夏日 不用 擔心 刮 大 風 或 和 下 大雨 能夠 在 巨大 的 冷氣房 裡 欣賞 球賽 以及 演唱會 真的 是 一 大 享受
"有冷氣但有蚊子喔
真的建議外帶食物進去裡面都要排隊很久
賽後的燈光效果真的很棒","有 冷氣 但 有 蚊子 喔 
 真的 建議 外帶 食物 進去 裡面 都 要 排隊 很 久 
 賽 後 的 燈光 效果 真的 很 棒"
很特別的建築適合下雨天來散步也可以通到國父紀念館也方便到松菸逛停車位超多但是標示有待加強很像迷宮,很 特別 的 建築 適合 下雨天 來 散步 也 可以 通到 國父 紀念館 也 方便 到 松菸 逛 停車位 超多 但是 標示 有待 加強 很 像 迷宮
台灣終於有巨蛋了曾經是棒球迷的四五年級生一生至少要去体驗一次,台灣 終於 有 巨蛋 了 曾經 是 棒球迷 的 四五年級生 一生 至少 要 去 体驗 一 次
夏天下班後散步到大巨蛋看場球賽非常享受有冷氣吹好不舒服,夏天 下班 後 散步 到 大 巨蛋 看 場 球賽 非常 享受 有 冷氣 吹 好 不 舒服
一進入大巨蛋的感覺就是爽動線佳指示明確空氣品質舒適深值大家的肯定與認同,一 進入 大 巨蛋 的 感覺 就 是 爽 動線 佳 指示 明確 空氣 品質 舒適 深 值 大家 的 肯定 與 認同
"心中一直醞釀今年找個機會去大巨蛋昨晚上有空閒終於去朝聖了因為我的外姪跟我說他和紅葉國小棒球隊有站在大巨蛋中央和日本職棒台灣職棒其實平常已經很少關注職棒了所以沒有特別的支持那一隊伍隨著同學的孩子還有家人的孩子有接觸棒球多多少少開始注意

但我兩邊都有挺喔先座中信兄弟再換座統一獅來感受球迷的熱情沒想到一來中信 VS 統一賽後兩隊單場 合計4支全壘打破紀錄

破大巨蛋球場單場最多全壘打紀錄也太幸運了吧我現場真的過贏太嗨了我看到4支全壘打 不是大巨蛋一開張很多人說大巨蛋很難打全壘打
拿來的難打

順便看我的姪兒的偶像到底離不厲害
最終中信vs統一11比5中信贏
